"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
APOE-<b>?</b>,"1 x 10-49",,NR,'-,'-,'-,'-,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST006806,"Mapping not available"
rs8077028-<b>T</b>,"1 x 10-6","(liability model)",0.751,'-,"0.09 unit decrease",[0.051-0.129],"TIMP2, CEP295NL","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,17:78891959
rs2244526-<b>T</b>,"6 x 10-6","(liability model)",0.824,'-,"0.09 unit decrease",[0.051-0.129],SELP,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,1:169617708
rs17022021-<b>T</b>,"8 x 10-6","(liability model)",0.843,'-,"0.09 unit decrease",[0.051-0.129],"RBMS3, AC098650.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,3:28837197
rs1034435-<b>A</b>,"3 x 10-6","(liability model)",0.659,'-,"0.07 unit decrease",[0.031-0.109],TAFA5,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,22:48492443
rs4760243-<b>A</b>,"8 x 10-6","(liability model)",0.566,'-,"0.07 unit decrease",[0.031-0.109],"LRIG3, AC020637.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,12:58828030
rs7260181-<b>T</b>,"8 x 10-6","(liability model)",0.57,'-,"0.07 unit decrease",[0.031-0.109],"PPP5D1, AC093503.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,19:46595170
rs12716755-<b>A</b>,"6 x 10-6","(liability model)",0.608,'-,"0.07 unit increase",[0.031-0.109],"USP10, KLHL36","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,16:84699678
rs3820443-<b>T</b>,"1 x 10-6","(liability model)",0.611,'-,"0.07 unit increase",[0.031-0.109],PIFO,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,1:111350283
rs846858-<b>A</b>,"3 x 10-6","(liability model)",0.272,'-,"0.08 unit increase",[0.041-0.119],IGSF23,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,19:44625528
rs5771225-<b>T</b>,"5 x 10-6","(liability model)",0.217,'-,"0.09 unit increase",[0.051-0.129],SELENOO,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,22:50201044
rs7313581-<b>T</b>,"8 x 10-7","(liability model)",0.218,'-,"0.09 unit increase",[0.051-0.129],"KRAS, AC087239.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,12:25269783
rs2699450-<b>A</b>,"4 x 10-6","(liability model)",0.211,'-,"0.09 unit increase",[0.051-0.129],"RAPGEF5, CDCA7L","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,7:22018573
rs6945197-<b>T</b>,"6 x 10-6","(liability model)",0.16,'-,"0.09 unit increase",[0.051-0.129],"ZP3P2, AC078845.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,7:136477062
rs184992198-<b>T</b>,"2 x 10-6","(liability model)",0.816,'-,"0.11 unit increase",[0.071-0.149],"BNIP3P13, ZNF90","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,19:20064649
rs115972394-<b>A</b>,"6 x 10-6","(liability model)",0.147,'-,"0.11 unit increase",[0.051-0.169],"AC092681.1, AC092681.2","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,7:149924921
rs73215707-<b>T</b>,"8 x 10-6","(liability model)",0.908,'-,"0.12 unit increase",[0.061-0.179],AC008164.1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,2:16736702
rs79926713-<b>T</b>,"8 x 10-6","(liability model)",0.082,'-,"0.13 unit increase",[0.071-0.189],SYNGAP1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,6:33427745
rs73732514-<b>A</b>,"2 x 10-6","(liability model)",0.929,'-,"0.14 unit increase",[0.081-0.199],AC124852.1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,5:1983817
rs62177277-<b>T</b>,"2 x 10-6","(liability model)",0.056,'-,"0.16 unit increase",[0.1-0.22],SESTD1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,2:179139721
rs73681522-<b>A</b>,"4 x 10-6","(liability model)",0.051,'-,"0.16 unit increase",[0.082-0.238],AC011287.1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,7:13656708
rs2234017-<b>C</b>,"7 x 10-6","(liability model)",0.056,'-,"0.17 unit increase",[0.092-0.248],TAS2R5,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,7:141791266
rs147597631-<b>T</b>,"2 x 10-6","(liability model)",0.061,'-,"0.18 unit increase",[0.1-0.26],"TCF15, CSNK2A1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,20:566915
rs145848414-<b>A</b>,"3 x 10-6","(liability model)",0.04,'-,"0.21 unit increase",[0.13-0.29],"SUMO2P6, AC108112.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,5:174587111
rs147985478-<b>A</b>,"3 x 10-6","(liability model)",0.977,'-,"0.25 unit increase",[0.15-0.35],PRANCR,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,12:69997949
rs116050881-<b>T</b>,"6 x 10-7","(liability model)",0.026,'-,"0.25 unit increase",[0.15-0.35],"AL671862.1, AC092265.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,1:29684252
rs116530595-<b>T</b>,"9 x 10-6","(liability model)",0.018,'-,"0.26 unit increase",[0.14-0.38],"TXN, C9orf152","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,9:110213589
rs147582129-<b>T</b>,"9 x 10-6","(liability model)",0.016,'-,"0.28 unit increase",[0.16-0.4],FAT3,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,11:92422052
rs72998574-<b>T</b>,"2 x 10-6","(liability model)",0.022,'-,"0.28 unit increase",[0.16-0.4],"R3HDM2P2, AL590608.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,6:103969846
rs144471255-<b>A</b>,"3 x 10-6","(liability model)",0.018,'-,"0.31 unit increase",[0.17-0.45],RDX,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,11:110058188
rs144216026-<b>A</b>,"8 x 10-6","(liability model)",0.017,'-,"0.31 unit increase",[0.17-0.45],ABCA8,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,17:68920354
rs137869973-<b>T</b>,"2 x 10-7","(liability model)",0.025,'-,"0.31 unit increase",[0.19-0.43],"AC068672.2, KCTD9P6","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,8:31236084
rs72840936-<b>C</b>,"5 x 10-7","(liability model)",0.018,'-,"0.32 unit increase",[0.2-0.44],STEAP3-AS1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,2:119266116
rs148587130-<b>T</b>,"7 x 10-6","(liability model)",0.013,'-,"0.36 unit increase",[0.2-0.52],NEK10,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,3:27236975
rs185126971-<b>A</b>,"8 x 10-6","(liability model)",0.011,'-,"0.37 unit increase",[0.21-0.53],"ERO1A, PSMC6","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,14:52702250
rs73239797-<b>A</b>,"2 x 10-6","(liability model)",0.013,'-,"0.39 unit increase",[0.23-0.55],"SEM1, RNU7-188P","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,7:96446404
rs113884973-<b>C</b>,"8 x 10-6","(liability model)",0.008,'-,"0.43 unit increase",[0.23-0.63],"AC069157.2, AC010967.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,2:53256902
rs182972826-<b>T</b>,"4 x 10-6","(liability model)",0.007,'-,"0.44 unit increase",[0.24-0.64],SEC24B,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,4:109534350
rs112920270-<b>A</b>,"9 x 10-6","(liability model)",0.008,'-,"0.45 unit increase",[0.25-0.65],"RNA5SP228, AC003087.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,7:23931916
rs141104697-<b>A</b>,"8 x 10-6","(liability model)",0.007,'-,"0.46 unit increase",[0.26-0.66],GTF2H3,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,12:123635804
rs144464515-<b>C</b>,"2 x 10-6","(liability model)",0.01,'-,"0.46 unit increase",[0.26-0.66],"ZNRF4, PTPRS","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,19:5417482
rs191707442-<b>T</b>,"6 x 10-6","(liability model)",0.008,'-,"0.47 unit increase",[0.27-0.67],"AC022784.2, AC022784.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,8:9182000
rs150269952-<b>T</b>,"6 x 10-6","(liability model)",0.009,'-,"0.48 unit increase",[0.26-0.7],RASSF5,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,1:206526352
rs144998240-<b>A</b>,"8 x 10-7","(liability model)",0.006,'-,"0.5 unit increase",[0.3-0.7],COL25A1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,4:109251730
rs138543081-<b>T</b>,"1 x 10-6","(liability model)",0.009,'-,"0.5 unit increase",[0.3-0.7],AL807761.4,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,9:107043881
rs192013290-<b>T</b>,"1 x 10-6","(liability model)",0.006,'-,"0.51 unit increase",[0.29-0.73],HMCN1,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,1:185780742
rs144077517-<b>A</b>,"2 x 10-6","(liability model)",0.005,'-,"0.54 unit increase",[0.32-0.76],SCAPER,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,15:76352686
rs142835438-<b>A</b>,"8 x 10-7","(liability model)",0.007,'-,"0.54 unit increase",[0.32-0.76],"AC009812.4, RPSAP47","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,8:80555470
rs184695264-<b>T</b>,"4 x 10-6","(liability model)",0.005,'-,"0.58 unit increase",[0.33-0.83],"AC022513.1, LINC01479","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,12:67780260
rs921390-<b>T</b>,"1 x 10-6","(liability model)",0.005,'-,"0.58 unit increase",[0.34-0.82],"AC106799.2, AC106799.1","Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,5:4515659
rs150291119-<b>A</b>,"3 x 10-6","(liability model)",0.005,'-,"0.6 unit increase",[0.35-0.85],NAALADL2,"Late-onset Alzheimer's disease","late-onset Alzheimers disease",GCST003815,3:174769522
