"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs689-<b>T</b>,"1 x 10-160",,0.71,2.21,'-,[2.08-2.34],"INS-IGF2, INS","Type 1 diabetes","type I diabetes mellitus",GCST010681,11:2160994
rs2128344-<b>A</b>,"8 x 10-12",,0.0055,2.12,'-,[1.71-2.63],LINC00320,"Type 1 diabetes","type I diabetes mellitus",GCST010681,21:20724226
rs60587303-<b>C</b>,"3 x 10-9",,0.0051,1.97,'-,[1.58-2.47],STK39,"Type 1 diabetes","type I diabetes mellitus",GCST010681,2:168190122
rs192324744-<b>G</b>,"2 x 10-11",,0.0131,1.63,'-,[1.41-1.88],LRP1B,"Type 1 diabetes","type I diabetes mellitus",GCST010681,2:141543366
rs34536443-<b>G</b>,"2 x 10-11",,0.0515,1.45,'-,[1.31-1.62],TYK2,"Type 1 diabetes","type I diabetes mellitus",GCST010681,19:10352442
rs2269247-<b>T</b>,"1 x 10-10",,0.18,1.17,'-,[1.12-1.23],PGM1,"Type 1 diabetes","type I diabetes mellitus",GCST010681,1:63641613
rs61839660-<b>?</b>,"5 x 10-9",,NR,1.6,'-,[1.44-1.76],IL2RA,"Type 1 diabetes","type I diabetes mellitus",GCST001394,10:6052734
rs1265564-<b>?</b>,"1 x 10-16",,NR,1.45,'-,[1.28-1.67],CUX2,"Type 1 diabetes","type I diabetes mellitus",GCST001394,12:111270654
rs10751776-<b>C</b>,"3 x 10-8",,0.509915,'-,"0.07814535 unit increase",[0.051-0.106],AL445471.2,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,1:24970252
rs574384-<b>A</b>,"2 x 10-8",,0.894668,'-,"0.13360222 unit decrease",[0.087-0.18],PSMB2,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,1:35622060
rs12742756-<b>G</b>,"4 x 10-8",,0.428204,'-,"0.08310696 unit decrease",[0.054-0.113],INPP5B,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,1:37881745
rs855330-<b>C</b>,"5 x 10-11",,0.259422,'-,"0.111207716 unit increase",[0.078-0.144],PGM1,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,1:63648218
rs1493696-<b>A</b>,"8 x 10-9",,0.13231,'-,"0.12832591 unit increase",[0.085-0.172],NOTCH2,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,1:119962909
rs570794153-<b>GA</b>,"4 x 10-11",,0.139675,'-,"0.14543974 unit decrease",[0.1-0.19],"AL157402.1, PTPRC","Type 1 diabetes","type I diabetes mellitus",GCST90014023,1:198629260
rs12128789-<b>C</b>,"4 x 10-9",,0.131779,'-,"0.12696852 unit increase",[0.085-0.169],"BATF3, LINC02773","Type 1 diabetes","type I diabetes mellitus",GCST90014023,1:212679490
rs1881146-<b>T</b>,"5 x 10-8",,0.310529,'-,"0.09517027 unit decrease",[0.061-0.129],MIR3681HG,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,2:12494668
rs12464462-<b>G</b>,"9 x 10-10",,0.410445,'-,"0.0879553 unit decrease",[0.06-0.116],AC007381.1,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,2:60409281
rs13018977-<b>A</b>,"2 x 10-8",,0.224602,'-,"0.100334994 unit increase",[0.065-0.135],SEPTIN2,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,2:241338592
rs12644686-<b>G</b>,"2 x 10-8",,0.193778,'-,"0.10774961 unit decrease",[0.07-0.146],LINC02362,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,4:184381748
rs114378220-<b>T</b>,"5 x 10-9",,0.070292,'-,"0.17790234 unit increase",[0.12-0.24],CAMK4,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,5:111230662
rs766751473-<b>T</b>,"1 x 10-8",,0.40393,'-,"0.080249354 unit increase",[0.053-0.108],"AC116366.3, IRF1-AS1","Type 1 diabetes","type I diabetes mellitus",GCST90014023,5:132431072
rs1050979-<b>G</b>,"6 x 10-14",,0.515138,'-,"0.106195554 unit increase",[0.079-0.134],IRF4,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,6:410417
rs7805218-<b>A</b>,"9 x 10-9",,0.30774,'-,"0.09541352 unit increase",[0.063-0.128],ITGB8,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,7:20339178
rs7795896-<b>T</b>,"2 x 10-16",,0.691577,'-,"0.13543522 unit decrease",[0.1-0.17],CFTR,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,7:117446559
rs1947178-<b>G</b>,"2 x 10-9",,0.791944,'-,"0.10326733 unit decrease",[0.07-0.137],TOX,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,8:58959618
rs13259300-<b>C</b>,"3 x 10-10",,0.598278,'-,"0.0921915 unit decrease",[0.063-0.121],COLEC10,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,8:119070702
rs3802214-<b>C</b>,"3 x 10-8",,0.798827,'-,"0.10660862 unit decrease",[0.069-0.144],AGO2,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,8:140606084
rs541856133-<b>T</b>,"4 x 10-17",,0.001509,'-,"1.1022301 unit increase",[0.85-1.36],"CEL, GTF3C5","Type 1 diabetes","type I diabetes mellitus",GCST90014023,9:133060938
rs537544-<b>T</b>,"9 x 10-9",,0.615565,'-,"0.08641077 unit decrease",[0.057-0.116],GATA3,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,10:8066419
rs78325861-<b>G</b>,"2 x 10-11",,0.039037,'-,"0.2820823 unit decrease",[0.2-0.36],"PRF1, ADAMTS14","Type 1 diabetes","type I diabetes mellitus",GCST90014023,10:70618733
rs140215710-<b>A</b>,"4 x 10-8",,0.010339,'-,"0.412643 unit increase",[0.27-0.56],"KCNQ1DN, CDKN1C","Type 1 diabetes","type I diabetes mellitus",GCST90014023,11:2881830
rs7936434-<b>C</b>,"4 x 10-8",,0.464277,'-,"0.07692268 unit increase",[0.05-0.104],"AP001189.2, EMSY","Type 1 diabetes","type I diabetes mellitus",GCST90014023,11:76582761
rs607703-<b>T</b>,"1 x 10-10",,0.484409,'-,"0.09201457 unit increase",[0.064-0.12],FLI1,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,11:128734279
rs7301381-<b>C</b>,"5 x 10-11",,0.463691,'-,"0.09358772 unit decrease",[0.066-0.122],KLRG1,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,12:8971336
rs238265-<b>G</b>,"2 x 10-9",,0.695162,'-,"0.09082453 unit decrease",[0.061-0.121],LINC02341,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,13:42356523
rs4238595-<b>C</b>,"2 x 10-11",,0.680478,'-,"0.11213453 unit decrease",[0.079-0.145],"GP2, UMOD","Type 1 diabetes","type I diabetes mellitus",GCST90014023,16:20331769
rs8046043-<b>C</b>,"2 x 10-8",,0.391629,'-,"0.08458667 unit decrease",[0.055-0.114],AC105411.1,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,16:80250127
rs61759532-<b>T</b>,"2 x 10-10",,0.234556,'-,"0.11837882 unit increase",[0.082-0.155],ACAP1,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,17:7337072
rs11651753-<b>T</b>,"1 x 10-9",,0.41983,'-,"0.08688845 unit decrease",[0.059-0.115],AC018521.1,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,17:47951723
rs57209021-<b>T</b>,"4 x 10-8",,0.225582,'-,"0.1006932 unit increase",[0.065-0.137],"RDM1P3, AC005332.7","Type 1 diabetes","type I diabetes mellitus",GCST90014023,17:68168777
rs74203920-<b>T</b>,"2 x 10-8",,0.019793,'-,"0.3138792 unit increase",[0.2-0.42],AIRE,"Type 1 diabetes","type I diabetes mellitus",GCST90014023,21:44294411
rs4263714-<b>A</b>,"4 x 10-6",,'-,'-,"0.20912386 unit increase",[0.12-0.3],AC004830.2,"Type 1 diabetes","type I diabetes mellitus",GCST90000529,7:50955790
rs4929965-<b>G</b>,"2 x 10-31",,'-,'-,"0.36365113 unit increase",[0.3-0.42],"ASCL2, MIR4686","Type 1 diabetes","type I diabetes mellitus",GCST90000529,11:2176056
rs72802342-<b>A</b>,"6 x 10-10",,'-,'-,"0.2877386 unit increase",[0.2-0.38],"CTRB2, AC009078.1","Type 1 diabetes","type I diabetes mellitus",GCST90000529,16:75200974
rs4366464-<b>C</b>,"1 x 10-9",,'-,'-,"0.403326 unit increase",[0.27-0.53],"INS-IGF2, AC132217.2, IGF2-AS","Type 1 diabetes","type I diabetes mellitus",GCST90000529,11:2143569
