"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs11915606-<b>G</b>,"4 x 10-8",,0.0071,7.23,'-,[3.58-14.62],BTD,"Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)","response to darapladib, Diarrhea, acute coronary syndrome, coronary artery disease",GCST004967,3:15633655
rs148121703-<b>C</b>,"3 x 10-8",,0.0116,14.93,'-,[5.75-38.76],GABRB1,"Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)","response to darapladib, Diarrhea, acute coronary syndrome, coronary artery disease",GCST004967,4:47371654
rs201394051-<b>AAT</b>,"2 x 10-8",,0.0442,2.72,'-,[1.91-3.86],"AC114322.1, LINC00992","Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)","response to darapladib, Diarrhea, acute coronary syndrome, coronary artery disease",GCST004967,5:117697919
rs4357117-<b>T</b>,"3 x 10-8",,0.0105,6.19,'-,[3.25-11.81],"RNU7-66P, AL591004.1","Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)","response to darapladib, Diarrhea, acute coronary syndrome, coronary artery disease",GCST004967,6:66873865
rs145044782-<b>A</b>,"3 x 10-8",,0.0062,10.88,'-,[4.67-25.38],"AC007161.3, GLCCI1","Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)","response to darapladib, Diarrhea, acute coronary syndrome, coronary artery disease",GCST004967,7:7995866
rs144610116-<b>C</b>,"7 x 10-9",,0.0083,89.29,'-,[19.61-400],FAM114A1,"Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)","response to darapladib, Diarrhea, acute coronary syndrome, coronary artery disease",GCST004967,4:38941227
rs62568141-<b>T</b>,"7 x 10-11",,0.0303,3.36,'-,[2.34-4.84],"FOXB2, AL353637.1","Moderate or severe diarrhoea in darapladib-treated cardiovascular disease (time to event)","response to darapladib, Diarrhea, acute coronary syndrome, coronary artery disease",GCST004967,9:77012344
rs149232047-<b>G</b>,"5 x 10-9",,0.0075,4.9,'-,[2.86-8.33],"AL356534.1, PPP1R14BP5","Diarrhoea in darapladib-treated cardiovascular disease (time to event)","response to darapladib, Diarrhea, acute coronary syndrome, coronary artery disease",GCST004962,6:126276990
rs16999497-<b>C</b>,"6 x 10-9",,0.0385,4.08,'-,[2.56-6.67],"APLN, OCRL","Diarrhoea in darapladib-treated cardiovascular disease (time to event)","response to darapladib, Diarrhea, acute coronary syndrome, coronary artery disease",GCST004962,X:129601222
rs151269874-<b>T</b>,"2 x 10-9",,0.0111,4.18,'-,[2.63-6.67],"AC025287.1, TMEM231","Diarrhoea in darapladib-treated cardiovascular disease (time to event)","response to darapladib, Diarrhea, acute coronary syndrome, coronary artery disease",GCST004962,16:75549741
rs9295128-<b>T</b>,"4 x 10-11",,0.01694,'-,"11.72 (nmol/min/ml) increase",[8.25-15.19],"SLC22A3, SLC22A2","Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,6:160330499
rs10455872-<b>G</b>,"4 x 10-13",,0.05875,'-,"7.22 (nmol/min/ml) increase",[5.26-9.18],LPA,"Lipoprotein phospholipase A2 activity in cardiovascular disease","lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease",GCST004963,6:160589086
